관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11500-00001,우장,근린공원,,서울특별시 강서구 화곡동 산60-1,37.55282,126.843808,359435.2,농구장+배드민턴장+축구장+테니스장+족구장,,주차장+화장실+음수대,,,1971-08-06,서울특별시 강서구청,02-2600-4185,2023-03-10
11500-00002,궁산,근린공원,,서울특별시 강서구 가양동 산4-7,37.574254,126.841332,135002.7,다목적체육관,,화장실+음수대,,,1977-07-09,서울특별시 강서구청,02-2600-4185,2023-03-10
11500-00003,염창,근린공원,,서울특별시 강서구 염창동 산24-1,37.55776477,126.8687918,112070,배드민턴장,,화장실,,,1977-07-09,서울특별시 강서구청,02-2600-4185,2023-03-10
11500-00004,꿩고개,근린공원,,서울특별시 강서구 방화동 산97-1,37.578139,126.816895,180000,게이트볼장,,화장실,,,1977-07-09,서울특별시 강서구청,02-2600-4185,2023-03-10
11500-00005,봉제산,근린공원,,서울특별시 강서구 화곡동 산1,37.540731,126.858825,917190,,수경시설,화장실+음수대,,,1977-07-09,서울특별시 강서구청,02-2600-4178,2023-03-10
11500-00006,개화,근린공원,,서울특별시 강서구 개화동 산17,37.588011,126.805798,386500,,,화장실+음수대,,,1977-07-09,서울특별시 강서구청,02-2600-4187,2023-03-10
11500-00007,등마루,근린공원,,서울특별시 강서구 화곡동 산199,37.55252087,126.8551523,74299,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4255,2023-03-10
11500-00008,공암나루,근린공원,,서울특별시 강서구 가양동 1459-9,37.570635,126.849087,25680.4,농구장+배드민턴장+족구장,,화장실+음수대,,,1990-05-22,서울특별시 강서구청,02-2600-4186,2023-03-10
11500-00009,구암,근린공원,,서울특별시 강서구 가양동 1471,37.567599,126.853729,29843.8,,수경시설,화장실,,,1990-05-22,서울특별시 강서구청,02-2600-4186,2023-03-10
11500-00010,황금내,근린공원,,서울특별시 강서구 가양동 1485-5,37.561783,126.864104,22002.9,농구장+배드민턴장+풋살장+테니스장+족구장,,화장실+음수대,,,1990-05-22,서울특별시 강서구청,02-2600-4186,2023-03-10
11500-00011,원당,근린공원,,서울특별시 강서구 등촌동 690-5,37.559782,126.842567,10096.4,,,화장실,,,1990-07-26,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00012,등촌,근린공원,,서울특별시 강서구 등촌동 687-4,37.563683,126.841391,10051.6,,,화장실,,,1990-07-26,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00013,서낭당,근린공원,,서울특별시 강서구 등촌동 706,37.558865,126.849984,10248.8,농구장+다목적구장,,화장실,,,1990-07-26,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00014,방화,근린공원,,서울특별시 강서구 방화동 855,37.580907,126.81412,72132,농구장+족구장+배드민턴장,수경시설,화장실+음수대,,,1990-12-29,서울특별시 강서구청,02-2600-4186,2023-03-10
11500-00015,옹기골,근린공원,,서울특별시 강서구 방화동 842,37.573562,126.821695,9723.6,농구장+족구장+다목적구장,,화장실+음수대,,,1990-12-29,서울특별시 강서구청,02-2600-4186,2023-03-10
11500-00016,매화,근린공원,,서울특별시 강서구 등촌동 630-14,37.557535,126.852151,1980.4,,,,,,1997-06-11,서울특별시 강서구청,02-2600-4112,2023-03-10
11500-00017,까치산,근린공원,,서울특별시 강서구 화곡동 산162-1,37.536938,126.843936,27658,,,화장실+음수대,,,1991-04-07,서울특별시 강서구청,02-2600-4186,2023-03-10
